,ES=F,NQ=F,GC=F,CL=F,EURUSD=X,cash
Euribor_is_high,0.0,0.0,0.0,0.0,0.0,5.261040426871608
Euribor_is_mid,0.0,0.0,0.2761666993702228,0.0,0.0,0.0866492994434264
Euribor_is_low,0.0,1.4928476368540442,0.0,0.25822566150825454,0.0,0.0
Euribor_down,0.0,0.0,0.3286990878767324,0.0,0.0,4.0653502452248755
Euribor_up,0.0,0.30211955748481295,0.8717058698363735,0.0,0.0,4.82308287666684
Euribor_is_low_up,0.0,0.0,0.0,0.0,0.0,0.0
Euribor_is_high_dn,2.234112638862823,0.0,0.0,0.0,0.0,0.0
