,ES=F,NQ=F,GC=F,CL=F,EURUSD=X,cash
Euribor_is_high,0.0,0.0,0.0,0.0,0.0,1.1161012676070408
Euribor_is_mid,0.0,0.0,0.9219231448752614,0.014442253725199763,0.0,0.0
Euribor_is_low,0.6759855211643191,1.1791719320947414,0.0,1.219362309403223,0.6421313114626575,0.0
Euribor_down,0.7259012158236682,0.5729287227771402,0.0,0.5023233773933041,0.0,0.0
Euribor_up,0.0,0.0,1.0780768551247384,0.0,0.6171050101709493,0.39730176313695503
Euribor_is_low_up,0.0,0.0,0.0,0.26387205947827286,0.740763678366393,0.0
Euribor_is_high_dn,0.598113263012013,0.24789934512811795,0.0,0.0,0.0,0.4865969692560039
