Date,Open,High,Low,Close,Adj Close,Volume
1985-03-01,,0.666,0.666,0.666,0.666,0.0
1985-03-04,0.666,0.6639,0.6639,0.6639,0.6639,0.0
1985-03-05,0.6639,0.6548,0.6548,0.6548,0.6548,0.0
1985-03-06,0.6548,0.6514,0.6514,0.6514,0.6514,0.0
1985-03-07,0.6514,0.6574,0.6574,0.6574,0.6574,0.0
1985-03-08,0.6574,0.6586,0.6586,0.6586,0.6586,0.0
1985-03-11,0.6586,0.6676,0.6676,0.6676,0.6676,0.0
1985-03-12,0.6676,0.6689,0.6689,0.6689,0.6689,0.0
1985-03-13,0.6689,0.6657,0.6657,0.6657,0.6657,0.0
1985-03-14,0.6657,0.66,0.66,0.66,0.66,0.0
1985-03-15,0.66,0.6619,0.6619,0.6619,0.6619,0.0
1985-03-18,0.6619,0.6658,0.6658,0.6658,0.6658,0.0
1985-03-19,0.6658,0.6798,0.6798,0.6798,0.6798,0.0
1985-03-20,0.6798,0.682,0.682,0.682,0.682,0.0
1985-03-21,0.682,0.6951,0.6951,0.6951,0.6951,0.0
1985-03-22,0.6951,0.6914,0.6914,0.6914,0.6914,0.0
1985-03-25,0.6914,0.6877,0.6877,0.6877,0.6877,0.0
1985-03-26,0.6877,0.6938,0.6938,0.6938,0.6938,0.0
1985-03-27,0.6938,0.7077,0.7077,0.7077,0.7077,0.0
1985-03-28,0.7077,0.7124,0.7124,0.7124,0.7124,0.0
1985-03-29,0.7124,0.7209,0.7209,0.7209,0.7209,0.0
1985-04-01,0.7209,0.7167,0.7167,0.7167,0.7167,0.0
1985-04-02,0.7167,0.7082,0.7082,0.7082,0.7082,0.0
1985-04-03,0.7082,0.7132,0.7132,0.7132,0.7132,0.0
1985-04-04,0.7132,0.7033,0.7033,0.7033,0.7033,0.0
1985-04-09,0.7033,0.7041,0.7041,0.7041,0.7041,0.0
1985-04-10,0.7041,0.7129,0.7129,0.7129,0.7129,0.0
1985-04-11,0.7129,0.7222,0.7222,0.7222,0.7222,0.0
1985-04-12,0.7222,0.7237,0.7237,0.7237,0.7237,0.0
1985-04-15,0.7237,0.7376,0.7376,0.7376,0.7376,0.0
1985-04-16,0.7376,0.7369,0.7369,0.7369,0.7369,0.0
1985-04-17,0.7369,0.737,0.737,0.737,0.737,0.0
1985-04-18,0.737,0.7441,0.7441,0.7441,0.7441,0.0
1985-04-19,0.7441,0.7476,0.7476,0.7476,0.7476,0.0
1985-04-22,0.7476,0.7429,0.7429,0.7429,0.7429,0.0
1985-04-23,0.7429,0.7288,0.7288,0.7288,0.7288,0.0
1985-04-24,0.7288,0.713,0.713,0.713,0.713,0.0
1985-04-25,0.713,0.7078,0.7078,0.7078,0.7078,0.0
1985-04-26,0.7078,0.7109,0.7109,0.7109,0.7109,0.0
1985-04-29,0.7109,0.7132,0.7132,0.7132,0.7132,0.0
1985-04-30,0.7132,0.7174,0.7174,0.7174,0.7174,0.0
1985-05-01,0.7174,0.7073,0.7073,0.7073,0.7073,0.0
1985-05-02,0.7073,0.7041,0.7041,0.7041,0.7041,0.0
1985-05-03,0.7041,0.6948,0.6948,0.6948,0.6948,0.0
1985-05-07,0.6948,0.7012,0.7012,0.7012,0.7012,0.0
1985-05-08,0.7012,0.6978,0.6978,0.6978,0.6978,0.0
1985-05-09,0.6978,0.7122,0.7122,0.7122,0.7122,0.0
1985-05-10,0.7122,0.7146,0.7146,0.7146,0.7146,0.0
1985-05-13,0.7146,0.7212,0.7212,0.7212,0.7212,0.0
1985-05-14,0.7212,0.7287,0.7287,0.7287,0.7287,0.0
1985-05-15,0.7287,0.7248,0.7248,0.7248,0.7248,0.0
1985-05-16,0.7248,0.7184,0.7184,0.7184,0.7184,0.0
1985-05-17,0.7184,0.7228,0.7228,0.7228,0.7228,0.0
1985-05-20,0.7228,0.735,0.735,0.735,0.735,0.0
